1	15658	15607	
1	15607	15603	
1	15603	2	
1	2	3	
1	3	5	
1	5	4	
1	4	310	
1	310	302	
1	302	15658	
2	15603	15604	
2	15604	15605	
2	15605	3	
4	5	12	
4	322	310	
302	310	5072	
302	5072	5055	
310	322	5072	
6	15606	15655	
6	15655	5063	
6	5063	15952	
6	15952	5	
6	5	3	
6	3	15605	
6	15605	15606	
5063	15953	15952	
7	1756	1757	
7	1757	5091	
7	5091	5090	
7	5090	5067	
7	5067	1756	
1756	5067	15679	
1756	15679	15738	
1756	15738	1757	
1757	15738	15791	
1757	15791	15906	
1757	15906	5091	
5067	5090	5089	
5067	15678	15679	
8	14	15842	
8	15842	16030	
8	16030	16092	
8	16092	17	
8	17	14	
14	17	16163	
14	5102	3003	
14	3003	15842	
15842	15892	16030	
9	308	320	
9	320	16116	
9	16116	16272	
9	16272	16202	
9	16202	16063	
9	16063	15916	
9	15916	308	
308	15916	5085	
308	5085	15803	
308	15803	15748	
320	15749	15863	
320	15863	15996	
320	15996	16116	
10	309	313	
10	313	16063	
10	16063	342	
10	342	1795	
10	1795	16120	
10	16120	1782	
10	1782	309	
309	15753	15806	
309	15806	313	
313	15751	15803	
313	15803	15916	
313	15916	16063	
342	16063	16202	
342	16276	1795	
1782	16120	16118	
1795	16362	16361	
1795	16361	16273	
1795	16273	16118	
1795	16118	16120	
11	322	4	
11	4	12	
11	12	3066	
11	3066	339	
11	339	322	
322	339	5100	
322	5100	5072	
339	3066	5136	
339	5136	5100	
3066	5157	16316	
13	5	15952	
13	15952	20	
13	20	16404	
13	16404	5157	
13	5157	12	
13	12	5	
12	5157	3066	
5157	16404	16316	
15	15906	15973	
15	15973	19	
15	19	23	
15	23	26	
15	26	22	
15	22	5091	
15	5091	15906	
19	15973	5117	
19	5167	5194	
19	5194	23	
22	26	31	
22	31	25	
22	5089	5090	
22	5090	5091	
23	5166	26	
15906	15907	15973	
16	20	15952	
16	15952	3036	
16	3036	3067	
16	3067	20	
3036	16024	3067	
18	16046	316	
18	316	5115	
18	5115	25	
18	25	5164	
18	5164	351	
18	351	16046	
351	5164	378	
351	378	16345	
21	341	340	
21	340	16252	
21	16252	16337	
21	16337	365	
21	365	28	
21	28	341	
340	16099	3029	
340	3029	16252	
341	3042	16106	
341	16106	15974	
365	16337	16252	
365	16252	16598	
365	16598	16680	
24	15990	16057	
24	16057	1802	
24	1802	32	
24	32	27	
24	27	334	
24	334	15990	
27	1816	16435	
27	16435	16261	
27	16261	334	
32	1802	1817	
32	1817	1825	
334	15991	15990	
1802	16262	1817	
29	5164	25	
29	25	31	
29	31	34	
29	34	1819	
29	1819	5164	
30	1810	1805	
30	1805	5216	
30	5216	3105	
30	3105	3093	
30	3093	1810	
1805	16325	5216	
3093	3105	3134	
3105	16749	3134	
5216	16325	5237	
33	1816	27	
33	27	32	
33	32	1825	
33	1825	1832	
33	1832	5320	
33	5320	1816	
5320	5449	5321	
35	1817	3110	
35	3110	3124	
35	3124	408	
35	408	38	
35	38	1825	
35	1825	1817	
38	1832	1825	
408	3124	5287	
408	5287	3164	
3110	5223	3124	
3124	5223	5287	
36	1827	1836	
36	1836	5348	
36	5348	448	
36	448	17027	
36	17027	1841	
36	1841	1827	
448	5348	16927	
448	1857	17027	
1836	5237	5315	
1836	5315	5348	
1841	17027	16749	
37	1819	34	
37	34	40	
37	40	450	
37	450	421	
37	421	1839	
37	1839	5319	
37	5319	391	
37	391	378	
37	378	1819	
378	5164	1819	
391	5319	1824	
421	1842	1839	
450	17256	17255	
39	416	5277	
39	5277	5342	
39	5342	42	
39	42	45	
39	45	41	
39	41	416	
41	5645	17456	
42	5342	431	
42	5586	45	
416	16922	5277	
5277	16922	16826	
5277	16573	16576	
5277	16576	16575	
5277	16575	5342	
43	16954	16955	
43	16955	17275	
43	17275	47	
43	47	17274	
43	17274	1858	
43	1858	438	
43	438	16954	
47	17496	1866	
47	1866	17274	
438	17056	16954	
1858	17274	17381	
17274	17606	17381	
17275	17380	17605	
44	16798	441	
44	441	17097	
44	17097	5637	
44	5637	453	
44	453	16798	
441	16798	16896	
441	16896	17097	
46	431	16921	
46	16921	471	
46	471	5586	
46	5586	42	
46	42	431	
471	16921	17123	
471	5746	5586	
16921	17019	17123	
48	17052	17053	
48	17053	17271	
48	17271	490	
48	490	541	
48	541	507	
48	507	17052	
490	17271	17378	
490	17378	3272	
490	3272	541	
507	17965	17966	
507	17382	17052	
49	47	17275	
49	17275	17605	
49	17605	17496	
49	17496	47	
17496	17605	17848	
50	17169	5462	
50	5462	17503	
50	17503	3245	
50	3245	3276	
50	3276	57	
50	57	52	
50	52	1859	
50	1859	17169	
52	56	474	
1859	17067	16968	
1859	16968	17068	
1859	17068	17169	
3245	17503	5462	
5462	17169	17066	
51	479	5584	
51	5584	17563	
51	17563	17788	
51	17788	5814	
51	5814	5813	
51	5813	5740	
51	5740	479	
479	5740	5739	
