2	10242	10244	
10242	2562	10243	
10244	10242	10243	
10244	10243	2564	
2562	10245	10247	
10245	642	10246	
10247	10245	10246	
10247	10246	2563	
2564	10243	10248	
10243	2562	10247	
10248	10243	10247	
10248	10247	2563	
2564	10248	10250	
10248	2563	10249	
10250	10248	10249	
10250	10249	644	
642	10251	10253	
10251	2565	10252	
10253	10251	10252	
10253	10252	2567	
2565	10254	10256	
10254	162	10255	
10256	10254	10255	
10256	10255	2566	
2567	10252	10257	
10252	2565	10256	
10257	10252	10256	
10257	10256	2566	
2567	10257	10259	
10257	2566	10258	
10259	10257	10258	
10259	10258	643	
644	10249	10261	
10249	2563	10260	
10261	10249	10260	
10261	10260	2568	
2563	10246	10262	
10246	642	10253	
10262	10246	10253	
10262	10253	2567	
2568	10260	10263	
10260	2563	10262	
10263	10260	10262	
10263	10262	2567	
2568	10263	10264	
10263	2567	10259	
10264	10263	10259	
10264	10259	643	
644	10261	10266	
10261	2568	10265	
10266	10261	10265	
10266	10265	2570	
2568	10264	10268	
10264	643	10267	
10268	10264	10267	
10268	10267	2569	
2570	10265	10269	
10265	2568	10268	
10269	10265	10268	
10269	10268	2569	
2570	10269	10271	
10269	2569	10270	
10271	10269	10270	
10271	10270	164	
162	10272	10274	
10272	2571	10273	
10274	10272	10273	
10274	10273	2573	
2571	10275	10277	
10275	645	10276	
10277	10275	10276	
10277	10276	2572	
2573	10273	10278	
10273	2571	10277	
10278	10273	10277	
10278	10277	2572	
2573	10278	10280	
10278	2572	10279	
10280	10278	10279	
10280	10279	647	
645	10281	10283	
10281	2574	10282	
10283	10281	10282	
10283	10282	2576	
2574	10284	10286	
10284	42	10285	
10286	10284	10285	
10286	10285	2575	
2576	10282	10287	
10282	2574	10286	
10287	10282	10286	
10287	10286	2575	
2576	10287	10289	
10287	2575	10288	
10289	10287	10288	
10289	10288	646	
647	10279	10291	
10279	2572	10290	
10291	10279	10290	
10291	10290	2577	
2572	10276	10292	
10276	645	10283	
10292	10276	10283	
10292	10283	2576	
2577	10290	10293	
10290	2572	10292	
10293	10290	10292	
10293	10292	2576	
2577	10293	10294	
10293	2576	10289	
10294	10293	10289	
10294	10289	646	
647	10291	10296	
10291	2577	10295	
10296	10291	10295	
10296	10295	2579	
2577	10294	10298	
10294	646	10297	
10298	10294	10297	
10298	10297	2578	
2579	10295	10299	
10295	2577	10298	
10299	10295	10298	
10299	10298	2578	
2579	10299	10301	
10299	2578	10300	
10301	10299	10300	
10301	10300	163	
164	10270	10303	
10270	2569	10302	
10303	10270	10302	
10303	10302	2581	
2569	10267	10305	
10267	643	10304	
10305	10267	10304	
10305	10304	2580	
2581	10302	10306	
10302	2569	10305	
10306	10302	10305	
10306	10305	2580	
2581	10306	10308	
10306	2580	10307	
10308	10306	10307	
10308	10307	648	
643	10258	10310	
10258	2566	10309	
10310	10258	10309	
10310	10309	2582	
2566	10255	10311	
10255	162	10274	
10311	10255	10274	
10311	10274	2573	
2582	10309	10312	
10309	2566	10311	
10312	10309	10311	
10312	10311	2573	
2582	10312	10313	
10312	2573	10280	
10313	10312	10280	
10313	10280	647	
648	10307	10315	
10307	2580	10314	
10315	10307	10314	
10315	10314	2583	
2580	10304	10316	
10304	643	10310	
10316	10304	10310	
10316	10310	2582	
2583	10314	10317	
10314	2580	10316	
10317	10314	10316	
10317	10316	2582	
2583	10317	10318	
10317	2582	10313	
10318	10317	10313	
10318	10313	647	
648	10315	10320	
10315	2583	10319	
10320	10315	10319	
10320	10319	2584	
2583	10318	10321	
10318	647	10296	
10321	10318	10296	
10321	10296	2579	
2584	10319	10322	
10319	2583	10321	
10322	10319	10321	
10322	10321	2579	
2584	10322	10323	
10322	2579	10301	
10323	10322	10301	
10323	10301	163	
164	10303	10325	
10303	2581	10324	
10325	10303	10324	
10325	10324	2586	
2581	10308	10327	
10308	648	10326	
10327	10308	10326	
10327	10326	2585	
2586	10324	10328	
10324	2581	10327	
10328	10324	10327	
10328	10327	2585	
2586	10328	10330	
10328	2585	10329	
10330	10328	10329	
10330	10329	650	
648	10320	10332	
10320	2584	10331	
10332	10320	10331	
10332	10331	2588	
2584	10323	10334	
10323	163	10333	
10334	10323	10333	
10334	10333	2587	
2588	10331	10335	
10331	2584	10334	
10335	10331	10334	
10335	10334	2587	
2588	10335	10337	
10335	2587	10336	
10337	10335	10336	
10337	10336	649	
650	10329	10339	
10329	2585	10338	
10339	10329	10338	
10339	10338	2589	
2585	10326	10340	
10326	648	10332	
10340	10326	10332	
10340	10332	2588	
2589	10338	10341	
10338	2585	10340	
10341	10338	10340	
10341	10340	2588	
2589	10341	10342	
10341	2588	10337	
10342	10341	10337	
10342	10337	649	
650	10339	10344	
10339	2589	10343	
10344	10339	10343	
10344	10343	2591	
2589	10342	10346	
10342	649	10345	
10346	10342	10345	
10346	10345	2590	
2591	10343	10347	
10343	2589	10346	
10347	10343	10346	
10347	10346	2590	
2591	10347	10349	
10347	2590	10348	
10349	10347	10348	
10349	10348	44	
42	10350	10352	
10350	2592	10351	
10352	10350	10351	
10352	10351	2594	
2592	10353	10355	
10353	651	10354	
10355	10353	10354	
10355	10354	2593	
2594	10351	10356	
10351	2592	10355	
10356	10351	10355	
10356	10355	2593	
2594	10356	10358	
10356	2593	10357	
10358	10356	10357	
10358	10357	653	
651	10359	10361	
10359	2595	10360	
10361	10359	10360	
10361	10360	2597	
2595	10362	10364	
10362	165	10363	
10364	10362	10363	
10364	10363	2596	
2597	10360	10365	
10360	2595	10364	
10365	10360	10364	
10365	10364	2596	
2597	10365	10367	
10365	2596	10366	
10367	10365	10366	
10367	10366	652	
653	10357	10369	
10357	2593	10368	
10369	10357	10368	
10369	10368	2598	
2593	10354	10370	
10354	651	10361	
10370	10354	10361	
10370	10361	2597	
2598	10368	10371	
10368	2593	10370	
10371	10368	10370	
10371	10370	2597	
2598	10371	10372	
10371	2597	10367	
10372	10371	10367	
10372	10367	652	
653	10369	10374	
10369	2598	10373	
10374	10369	10373	
10374	10373	2600	
2598	10372	10376	
10372	652	10375	
10376	10372	10375	
10376	10375	2599	
2600	10373	10377	
10373	2598	10376	
10377	10373	10376	
10377	10376	2599	
2600	10377	10379	
10377	2599	10378	
10379	10377	10378	
10379	10378	167	
165	10380	10382	
10380	2601	10381	
10382	10380	10381	
10382	10381	2603	
2601	10383	10385	
10383	654	10384	
10385	10383	10384	
10385	10384	2602	
2603	10381	10386	
10381	2601	10385	
10386	10381	10385	
10386	10385	2602	
2603	10386	10388	
10386	2602	10387	
10388	10386	10387	
10388	10387	656	
654	10389	10391	
10389	2604	10390	
10391	10389	10390	
10391	10390	2606	
2604	10392	10394	
10392	12	10393	
10394	10392	10393	
10394	10393	2605	
2606	10390	10395	
10390	2604	10394	
10395	10390	10394	
10395	10394	2605	
2606	10395	10397	
10395	2605	10396	
10397	10395	10396	
10397	10396	655	
656	10387	10399	
10387	2602	10398	
10399	10387	10398	
10399	10398	2607	
2602	10384	10400	
10384	654	10391	
10400	10384	10391	
10400	10391	2606	
2607	10398	10401	
10398	2602	10400	
10401	10398	10400	
10401	10400	2606	
2607	10401	10402	
10401	2606	10397	
10402	10401	10397	
10402	10397	655	
656	10399	10404	
10399	2607	10403	
10404	10399	10403	
10404	10403	2609	
2607	10402	10406	
10402	655	10405	
10406	10402	10405	
10406	10405	2608	
2609	10403	10407	
10403	2607	10406	
10407	10403	10406	
10407	10406	2608	
2609	10407	10409	
10407	2608	10408	
10409	10407	10408	
10409	10408	166	
167	10378	10411	
